AccidentUID,AccidentType,AccidentType_de,AccidentType_fr,AccidentType_it,AccidentType_en,AccidentSeverityCategory,AccidentSeverityCategory_de,AccidentSeverityCategory_fr,AccidentSeverityCategory_it,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,RoadType_de,RoadType_fr,RoadType_it,RoadType_en,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentMonth_de,AccidentMonth_fr,AccidentMonth_it,AccidentMonth_en,AccidentWeekDay,AccidentWeekDay_de,AccidentWeekDay_fr,AccidentWeekDay_it,AccidentWeekDay_en,AccidentHour,AccidentHour_text,Datum,weather_condition,temperature
07CF92B53E470268E0630AB38B0230D2,at2,Auffahrunfall,accident par tamponnement,Incidente di tamponamento,Accident with rear-end collision,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,TRUE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2683912,1246681,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw405,Freitag,vendredi,Venerdì,Friday,20,20,2023-10-13,clear-night,15.9
07CF92B5594A0268E0630AB38B0230D2,at3,Abbiegeunfall,accident en quittant une route,Incidente nello svoltare,Accident when turning left or right,as3,Unfall mit Leichtverletzten,accident avec blessés légers,Incidente con feriti leggeri,Accident with light injuries,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2682974,1249529,ZH,261,2023,9,September,septembre,Settembre,September,aw406,Samstag,samedi,Sabato,Saturday,9,09,2023-09-09,partly-cloudy-day,23.0
07CF92B56C9B0268E0630AB38B0230D2,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2684835,1244899,ZH,261,2023,9,September,septembre,Settembre,September,aw406,Samstag,samedi,Sabato,Saturday,6,06,2023-09-30,partly-cloudy-day,15.0
07D0C345F4160182E0630AB38B024CB5,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),as3,Unfall mit Leichtverletzten,accident avec blessés légers,Incidente con feriti leggeri,Accident with light injuries,TRUE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2683107,1249164,ZH,261,2023,9,September,septembre,Settembre,September,aw405,Freitag,vendredi,Venerdì,Friday,10,10,2023-09-22,rain,14.0
07D0C345F4880182E0630AB38B024CB5,at2,Auffahrunfall,accident par tamponnement,Incidente di tamponamento,Accident with rear-end collision,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2679874,1247744,ZH,261,2023,9,September,septembre,Settembre,September,aw403,Mittwoch,mercredi,Mercoledì,Wednesday,17,17,2023-09-27,clear-day,20.0
07D0C345F5520182E0630AB38B024CB5,at7,Parkierunfall,accident en parquant,Incidente nel parcheggiare,Accident when parking,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt439,andere,autre,Altro,Other,2682781,1244776,ZH,261,2023,9,September,septembre,Settembre,September,aw405,Freitag,vendredi,Venerdì,Friday,11,11,2023-09-15,partly-cloudy-day,20.0
07D0C34D697F023AE0630AB38B02D860,at7,Parkierunfall,accident en parquant,Incidente nel parcheggiare,Accident when parking,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2682914,1249204,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw402,Dienstag,mardi,Martedì,Tuesday,15,15,2023-10-10,cloudy,24.0
07D0C45F82EB0140E0630AB38B02654F,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2679334,1249455,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw406,Samstag,samedi,Sabato,Saturday,12,12,2023-10-14,rain,17.0
07D0C45F8E120140E0630AB38B02654F,at2,Auffahrunfall,accident par tamponnement,Incidente di tamponamento,Accident with rear-end collision,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,2680006,1252980,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw406,Samstag,samedi,Sabato,Saturday,15,15,2023-10-14,rain,14.0
07D0C45F90520140E0630AB38B02654F,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),as3,Unfall mit Leichtverletzten,accident avec blessés légers,Incidente con feriti leggeri,Accident with light injuries,TRUE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2682229,1248172,ZH,261,2023,9,September,septembre,Settembre,September,aw403,Mittwoch,mercredi,Mercoledì,Wednesday,6,06,2023-09-20,partly-cloudy-day,12.0
07D0C45FA2010140E0630AB38B02654F,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as3,Unfall mit Leichtverletzten,accident avec blessés légers,Incidente con feriti leggeri,Accident with light injuries,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2681481,1247417,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw407,Sonntag,dimanche,Domenica,Sunday,11,11,2023-10-08,clear-day,21.0
07D0C45FBCD10140E0630AB38B02654F,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,TRUE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2679651,1250125,ZH,261,2023,9,September,septembre,Settembre,September,aw405,Freitag,vendredi,Venerdì,Friday,22,22,2023-09-22,cloudy,12.7
07D1D644A3130210E0630AB38B02497A,at2,Auffahrunfall,accident par tamponnement,Incidente di tamponamento,Accident with rear-end collision,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2683814,1247252,ZH,261,2023,9,September,septembre,Settembre,September,aw402,Dienstag,mardi,Martedì,Tuesday,20,20,2023-09-05,clear-night,19.4
07D1D644AA7A0210E0630AB38B02497A,at7,Parkierunfall,accident en parquant,Incidente nel parcheggiare,Accident when parking,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt439,andere,autre,Altro,Other,2682860,1246859,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw403,Mittwoch,mercredi,Mercoledì,Wednesday,14,14,2023-10-04,partly-cloudy-day,19.0
07D5FCED425E01CAE0630AB38B022F9C,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2683749,1247329,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw407,Sonntag,dimanche,Domenica,Sunday,17,17,2023-10-15,partly-cloudy-night,10.0
07D5FCED574601CAE0630AB38B022F9C,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2681363,1251916,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw402,Dienstag,mardi,Martedì,Tuesday,18,18,2023-10-17,partly-cloudy-night,9.0
07D5FCED57E201CAE0630AB38B022F9C,at7,Parkierunfall,accident en parquant,Incidente nel parcheggiare,Accident when parking,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2682475,1248589,ZH,261,2023,9,September,septembre,Settembre,September,aw404,Donnerstag,jeudi,Giovedì,Thursday,15,15,2023-09-28,clear-day,25.0
07D5FCED80AE01CAE0630AB38B022F9C,at7,Parkierunfall,accident en parquant,Incidente nel parcheggiare,Accident when parking,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt439,andere,autre,Altro,Other,2681282,1245701,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw402,Dienstag,mardi,Martedì,Tuesday,20,20,2023-10-03,rain,16.3
07D5FCED817301CAE0630AB38B022F9C,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as4,Unfall mit Sachschaden,accident avec dommages matériels,Incidente con danni materiali,Accident with property damage,FALSE,FALSE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,2683526,1251512,ZH,261,2023,10,Oktober,octobre,Ottobre,October,aw407,Sonntag,dimanche,Domenica,Sunday,8,08,2023-10-22,cloudy,11.0
