"","AccidentUID","AccidentType","AccidentType_de","AccidentType_fr","AccidentType_it","AccidentType_en","AccidentSeverityCategory","AccidentSeverityCategory_de","AccidentSeverityCategory_fr","AccidentSeverityCategory_it","AccidentSeverityCategory_en","AccidentInvolvingPedestrian","AccidentInvolvingBicycle","AccidentInvolvingMotorcycle","RoadType","RoadType_de","RoadType_fr","RoadType_it","RoadType_en","AccidentLocation_CHLV95_E","AccidentLocation_CHLV95_N","CantonCode","MunicipalityCode","AccidentYear","AccidentMonth","AccidentMonth_de","AccidentMonth_fr","AccidentMonth_it","AccidentMonth_en","AccidentWeekDay","AccidentWeekDay_de","AccidentWeekDay_fr","AccidentWeekDay_it","AccidentWeekDay_en","AccidentHour","AccidentHour_text","Datum"
"5067","FD5D68361E920130E0530AB38B026A31","at1","Überholunfall oder Fahrstreifenwechsel","accident lors d'un dépassement ou lors d'un changement de voie de circulation","Incidente di sorpasso o al cambiamento di corsia","Accident when overtaking or changing lanes","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt432","Hauptstrasse","route principale","Strada principale","Principal road",2682327,1247017,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw401","Montag","lundi","Lunedí","Monday",16,"16h-17h","12.06.23"
"5068","FD5E266A926701FEE0530AB38B028515","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2682779,1247706,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw401","Montag","lundi","Lunedí","Monday",0,"00h-01h","29.05.23"
"5069","FD5E266A92DD01FEE0530AB38B028515","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2682624,1246658,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw403","Mittwoch","mercredi","Mercoledì","Wednesday",9,"09h-10h","31.05.23"
"5070","FD649A75E640011CE0530AB38B02647E","at2","Auffahrunfall","accident par tamponnement","Incidente di tamponamento","Accident with rear-end collision","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2682539,1248751,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw405","Freitag","vendredi","Venerdì","Friday",23,"23h-00h","19.05.23"
"5071","FD649A75F969011CE0530AB38B02647E","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2681542,1250232,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw405","Freitag","vendredi","Venerdì","Friday",12,"12h-13h","02.06.23"
"5072","FD649A75FBC5011CE0530AB38B02647E","at3","Abbiegeunfall","accident en quittant une route","Incidente nello svoltare","Accident when turning left or right","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries","false","true","false","rt432","Hauptstrasse","route principale","Strada principale","Principal road",2683924,1251452,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw402","Dienstag","mardi","Martedì","Tuesday",6,"06h-07h","06.06.23"
"5073","FD649A7614CB011CE0530AB38B02647E","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2680747,1247981,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw402","Dienstag","mardi","Martedì","Tuesday",6,"06h-07h","23.05.23"
"5074","FD7276FD7974019CE0530AB38B0232BA","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2682965,1248433,"ZH",261,2023,4,"April","avril","Aprile","April","aw404","Donnerstag","jeudi","Giovedì","Thursday",10,"10h-11h","13.04.23"
"5075","FD7276FD98CF019CE0530AB38B0232BA","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as2","Unfall mit Schwerverletzten","accident avec blessés graves","Incidente con feriti gravi","Accident with severe injuries","false","true","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2681975,1249645,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw406","Samstag","samedi","Sabato","Saturday",17,"17h-18h","03.06.23"
"5076","FD7276FD9C8C019CE0530AB38B0232BA","at8","Fussgängerunfall","accident impliquant des piétons","Incidente con pedoni","Accident involving pedestrian(s)","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2680809,1245990,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw403","Mittwoch","mercredi","Mercoledì","Wednesday",15,"15h-16h","31.05.23"
"5077","FD7276FDA729019CE0530AB38B0232BA","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2686458,1245904,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw403","Mittwoch","mercredi","Mercoledì","Wednesday",22,"22h-23h","24.05.23"
"5078","FD7276FDA7E0019CE0530AB38B0232BA","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2681695,1246425,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw405","Freitag","vendredi","Venerdì","Friday",12,"12h-13h","02.06.23"
"5079","FD7276FDB757019CE0530AB38B0232BA","at1","Überholunfall oder Fahrstreifenwechsel","accident lors d'un dépassement ou lors d'un changement de voie de circulation","Incidente di sorpasso o al cambiamento di corsia","Accident when overtaking or changing lanes","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2680955,1248019,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw401","Montag","lundi","Lunedí","Monday",10,"10h-11h","12.06.23"
"5080","FD8596F9D86F01A2E0530AB38B028008","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2686542,1250327,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw405","Freitag","vendredi","Venerdì","Friday",7,"07h-08h","02.06.23"
"5081","FD8596F9E96C01A2E0530AB38B028008","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries","false","true","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2681793,1247628,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw405","Freitag","vendredi","Venerdì","Friday",20,"20h-21h","12.05.23"
"5082","FD8596FA039701A2E0530AB38B028008","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2684461,1246887,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw407","Sonntag","dimanche","Domenica","Sunday",11,"11h-12h","04.06.23"
"5083","FD8A085AFD990178E0530AB38B02A41B","at2","Auffahrunfall","accident par tamponnement","Incidente di tamponamento","Accident with rear-end collision","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2679627,1248877,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw402","Dienstag","mardi","Martedì","Tuesday",8,"08h-09h","23.05.23"
"5084","FD8A085B119E0178E0530AB38B02A41B","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2683578,1251945,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw405","Freitag","vendredi","Venerdì","Friday",15,"15h-16h","02.06.23"
"5085","FD8A085B126A0178E0530AB38B02A41B","at3","Abbiegeunfall","accident en quittant une route","Incidente nello svoltare","Accident when turning left or right","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2682392,1244525,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw406","Samstag","samedi","Sabato","Saturday",13,"13h-14h","10.06.23"
